id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status
374064,Viewridge MOB - CA205-1,Blink Network,San Diego,CA,92123,5251 Viewridge Court,32.830039,-117.121603,J1772,,,3.0,,24 hours daily,public,2025-11-08,2025-11-08T00:26:04Z,2016-03-17,GPS
177415,HQ STATION 5 SAN DIEGO 2,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837083,-117.126582,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:13Z,2021-01-27,GPS
204905,HQ STATION 5 SAN DIEGO 1,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837309,-117.126682,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:13Z,2022-01-15,GPS
159471,HQ STATION 5 SAN DIEGO 4,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837554,-117.126511,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:13Z,2020-06-12,GPS
177414,HQ STATION 5 SAN DIEGO 3,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837597,-117.126599,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:13Z,2021-01-27,GPS
439872,DGS AWM HW J-7&8,ChargePoint Network,San Diego,CA,92123,9325 Hazard Way,32.835362,-117.128382,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:15:16Z,2025-11-07,GPS
439873,DGS AWM HW J-5&6,ChargePoint Network,San Diego,CA,92123,9325 Hazard Way,32.835414,-117.128382,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:15:18Z,2025-11-07,GPS
439874,DGS AWM HW J-3&4,ChargePoint Network,San Diego,CA,92123,9325 Hazard Way,32.835463,-117.128377,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:15:18Z,2025-11-07,GPS
439875,DGS AWM HW J-1&2,ChargePoint Network,San Diego,CA,92123,9325 Hazard Way,32.835512,-117.128382,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:15:18Z,2025-11-07,GPS
179241,DGS SAN DIEGO COC 4,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834281,-117.128878,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:56:27Z,2021-01-27,GPS
309249,Genesis Plaza,Blink Network,San Diego,CA,92123,4995 Murphy Canyon Road Suite 300,32.8299595,-117.1195814,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T00:08:40Z,2018-12-28,GPS
179240,DGS SAN DIEGO COC 3,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834272,-117.128937,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:56:28Z,2021-01-27,GPS
177413,HQ STATION 5 SAN DIEGO 6,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837372,-117.127482,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:02Z,2021-01-27,GPS
177412,HQ STATION 5 SAN DIEGO 5,ChargePoint Network,San Diego,CA,92123,5656 Ruffin Rd,32.837375,-117.12748,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:15:02Z,2021-01-27,GPS
160753,DGS SAN DIEGO COC 2,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834326,-117.129071,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:56:27Z,2020-06-12,GPS
179239,DGS SAN DIEGO COC 5,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.833857,-117.129082,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:57:02Z,2021-01-27,GPS
160673,DGS SAN DIEGO COC 1,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834326,-117.129082,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:57:36Z,2020-06-12,GPS
389505,DGS PSB2 C1-243&244,ChargePoint Network,San Diego,CA,92123,5610 Overland Ave,32.835964,-117.128645,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:04:37Z,2025-04-08,GPS
177781,NATIONAL UNIV SPECTRUM 1,ChargePoint Network,San Diego,CA,92123,9388 Lightwave Ave,32.829268,-117.127694,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:00:45Z,2021-01-27,GPS
159674,NATIONAL UNIV 9391 LIGHTWAVE,ChargePoint Network,San Diego,CA,92123,9388 Lightwave Ave,32.828405,-117.127471,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T01:12:27Z,2020-06-12,GPS
434099,DGS ME H-32,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.83436,-117.1315,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434100,DGS ME H-28,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.83443,-117.131525,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434095,DGS ME H-40,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834377,-117.131545,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:22Z,2025-10-22,GPS
434104,DGS ME H-10,ChargePoint Network,San Diego,CA,92123,5570 Overland Ave,32.834596,-117.131575,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:25Z,2025-10-22,GPS
434096,DGS ME H-38,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.83439,-117.131624,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:22Z,2025-10-22,GPS
434098,DGS ME H-34 GW,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.83438,-117.131699,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434105,DGS ME H-9,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834632,-117.131698,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:25Z,2025-10-22,GPS
434097,DGS ME H-36,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834386,-117.131783,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434106,DGS ME H-30,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834404,-117.131908,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:25Z,2025-10-22,GPS
434101,DGS ME H-26,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834407,-117.13198,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434102,DGS ME H-24,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834346,-117.132055,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:23Z,2025-10-22,GPS
434103,DGS ME H-22,ChargePoint Network,San Diego,CA,92123,5515 Overland Ave,32.834402,-117.132129,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:16:24Z,2025-10-22,GPS
