id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status,capacity_proxy
279398,Fashion Valley Mall – South,Electrify America,San Diego,CA,92108,7007 Friars Road,32.76783,-117.16438,J1772COMBO,20.0,,,,24 hours daily,public,2025-11-08,2025-11-08T03:47:15Z,2023-06-22,GPS,20.0
416907,Vons San Diego #2358,eVgo Network,San Diego,CA,92116,3610 Adams Ave,32.7635732,-117.1150302,"CHADEMO,J1772COMBO",6.0,,,,24 hours daily,public,2025-11-07,2025-11-08T00:00:26Z,2025-07-25,GPS,6.0
331089,Stonecrest Plaza,eVgo Network,San Diego,CA,92123,3737 Murphy Canyon Rd,32.80931,-117.11518,J1772COMBO,6.0,,,,24 hours daily,public,2025-11-08,2025-11-08T00:01:02Z,2024-03-23,GPS,6.0
279331,"Mission Valley (San Diego, CA)",Electrify America,San Diego,CA,92108,1640 Camino Del Rio N,32.76738,-117.14993,J1772COMBO,6.0,,,,24 hours daily,public,2025-11-08,2025-11-08T03:46:21Z,2023-06-22,GPS,6.0
198024,Mission Valley Office Complex,EV Connect,San Diego,CA,92108,7575 Metropolitan Dr,32.776545,-117.157709,J1772,,,22.0,,24 hours daily,public,2025-11-08,2025-11-08T03:58:14Z,2021-10-19,GPS,5.5
373032,Sheraton Mission Valley San Diego,eVgo Network,San Diego,CA,92108,1435 Camino Del Rio S,32.76506,-117.15005,"CHADEMO,J1772COMBO",4.0,,,,24 hours daily,public,2025-11-07,2025-11-07T23:57:00Z,2024-12-14,GPS,4.0
416944,Balboa Mesa Shopping Center,eVgo Network,San Diego,CA,92111,5401 Balboa Avenue,32.81817,-117.17852,"CHADEMO,J1772COMBO",4.0,,,,24 hours daily,public,2025-11-08,2025-11-08T00:01:00Z,2025-07-25,GPS,4.0
143940,Fashion Valley Mall – North,Electrify America,San Diego,CA,92108,7007 Friars Road,32.76931,-117.16372,"CHADEMO,J1772,J1772COMBO",3.0,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:48:38Z,2019-08-21,GPS,3.25
152513,"Walmart 2177 - San Diego, CA",Electrify America,San Diego,CA,92123,3382 Murphy Canyon Rd.,32.8046,-117.11514,"J1772,J1772COMBO",3.0,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:47:21Z,2020-01-17,GPS,3.25
405754,PriceSmart,Blink Network,San Diego,CA,92123,9797 Aero Drive,32.80872269190281,-117.1181836308283,J1772,,,10.0,,24 hours daily,public,2025-11-08,2025-11-08T00:19:16Z,2022-06-22,GPS,2.5
