station name,street address,city,state,zip,ev level1 evse num,ev level2 evse num,ev dc fast count,ev network,ev connector types,access code,facility type,total_chargers,has_level1,has_level2,has_dc_fast,zip_code,county_name,electricity_rate_per_kwh,rate_tier_x,rate_per_kwh,rate_tier_y
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,0.0,57.0,2.0,SHELL_RECHARGE,CHADEMO J1772 J1772COMBO,private,UTILITY,59.0,False,True,True,91352.0,Los Angeles,0.3,Lowest,0.3,Lowest
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,0.0,7.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,7.0,False,True,False,90015.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,0.0,338.0,12.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,350.0,False,True,True,90012.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,0.0,19.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,20.0,False,True,True,90803.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,0.0,10.0,0.0,Non-Networked,J1772,private,UTILITY,10.0,False,True,False,90744.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,0.0,2.0,0.0,Non-Networked,J1772,private,UTILITY,2.0,False,True,False,91342.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,0.0,46.0,1.0,Non-Networked,CHADEMO J1772,private,UTILITY,47.0,False,True,True,90012.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,0.0,13.0,0.0,Non-Networked,J1772,private,UTILITY,13.0,False,True,False,90016.0,Los Angeles,0.3,Lowest,0.3,Lowest
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,0.0,3.0,0.0,Non-Networked,J1772,public,STATE_GOV,3.0,False,True,False,91731.0,Los Angeles,0.3,Lowest,0.3,Lowest
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,0.0,27.0,0.0,Non-Networked,J1772,private,UTILITY,27.0,False,True,False,90013.0,Los Angeles,0.3,Lowest,0.3,Lowest
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,0.0,1.0,0.0,Non-Networked,J1772,public,HOSPITAL,1.0,False,True,False,92037.0,San Diego,0.4597,Low,0.4597,Low
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,0.0,2.0,0.0,Non-Networked,J1772,public,CAR_DEALER,2.0,False,True,False,91343.0,Los Angeles,0.3,Lowest,0.3,Lowest
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,4.0,False,True,False,92503.0,Riverside,0.3869,Lowest,0.3869,Lowest
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,0.0,16.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,16.0,False,True,False,91103.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,2.0,False,True,False,91105.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,0.0,3.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,3.0,False,True,False,91105.0,Los Angeles,0.3,Lowest,0.3,Lowest
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,0.0,0.0,0.0,Non-Networked,,public,GROCERY,0.0,False,False,False,91030.0,Los Angeles,0.3,Lowest,0.3,Lowest
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,90802.0,Los Angeles,0.3,Lowest,0.3,Lowest
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,0.0,20.0,0.0,Non-Networked,J1772,public,AIRPORT,20.0,False,True,False,90045.0,Los Angeles,0.3,Lowest,0.3,Lowest
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,0.0,5.0,0.0,Volta,J1772,public,,5.0,False,True,False,91324.0,Los Angeles,0.3,Lowest,0.3,Lowest
Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,91764.0,San Bernardino,0.3869,Lowest,0.3869,Lowest
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,93030.0,Ventura,0.3869,Lowest,0.3869,Lowest
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,92262.0,Riverside,0.3869,Lowest,0.3869,Lowest
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,0.0,3.0,0.0,Non-Networked,J1772,public,OFFICE_BLDG,3.0,False,True,False,92509.0,Riverside,0.3869,Lowest,0.3869,Lowest
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,0.0,4.0,0.0,Non-Networked,J1772,public,AIRPORT,4.0,False,True,False,95837.0,Sacramento,0.3869,Lowest,0.3869,Lowest
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,0.0,2.0,0.0,Non-Networked,J1772,public,AIRPORT,2.0,False,True,False,90405.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,90405.0,Los Angeles,0.3,Lowest,0.3,Lowest
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,0.0,2.0,0.0,Volta,J1772,public,,2.0,False,True,False,91423.0,Los Angeles,0.3,Lowest,0.3,Lowest
Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,1.0,0.0,0.0,Non-Networked,NEMA520,public,HOTEL,1.0,True,False,False,91608.0,Los Angeles,0.3,Lowest,0.3,Lowest
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,4.0,False,True,False,90241.0,Los Angeles,0.3,Lowest,0.3,Lowest
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,94133.0,San Francisco,0.4597,Low,0.4597,Low
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,4.0,False,True,False,95815.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,0.0,0.0,0.0,Non-Networked,,public,PARKING_GARAGE,0.0,False,False,False,94115.0,San Francisco,0.4597,Low,0.4597,Low
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,94105.0,San Francisco,0.4597,Low,0.4597,Low
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,94108.0,San Francisco,0.4597,Low,0.4597,Low
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,2.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,2.0,False,True,False,91330.0,Los Angeles,0.3,Lowest,0.3,Lowest
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,2.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,2.0,False,True,False,91330.0,Los Angeles,0.3,Lowest,0.3,Lowest
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,4.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,4.0,False,True,False,91330.0,Los Angeles,0.3,Lowest,0.3,Lowest
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_LOT,4.0,False,True,False,90731.0,Los Angeles,0.3,Lowest,0.3,Lowest
Sylmar Station,Village Way Dr,San Fernando,CA,91342,0.0,4.0,0.0,EV Connect,J1772,public,,4.0,False,True,False,91342.0,Los Angeles,0.3,Lowest,0.3,Lowest
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,12.0,15.0,0.0,Non-Networked,J1772 NEMA520,public,PARKING_GARAGE,27.0,True,True,False,90049.0,Los Angeles,0.3,Lowest,0.3,Lowest
LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,0.0,3.0,0.0,POWERFLEX,J1772,public,PARK,3.0,False,True,False,91007.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,91741.0,Los Angeles,0.3,Lowest,0.3,Lowest
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,90230.0,Los Angeles,0.3,Lowest,0.3,Lowest
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,0.0,6.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,6.0,False,True,False,90034.0,Los Angeles,0.3,Lowest,0.3,Lowest
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,0.0,6.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,6.0,False,True,False,92705.0,Orange,0.3869,Lowest,0.3869,Lowest
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,0.0,5.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,5.0,False,True,False,93012.0,Ventura,0.3869,Lowest,0.3869,Lowest
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,4.0,False,True,False,92821.0,Orange,0.3869,Lowest,0.3869,Lowest
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,4.0,2.0,0.0,Non-Networked,J1772 NEMA515,public,SHOPPING_CENTER,6.0,True,True,False,91320.0,Ventura,0.3869,Lowest,0.3869,Lowest
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,0.0,1.0,0.0,Non-Networked,J1772,public,PARK,1.0,False,True,False,93022.0,Ventura,0.3869,Lowest,0.3869,Lowest
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_LOT,2.0,False,True,False,91773.0,Los Angeles,0.3,Lowest,0.3,Lowest
City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_LOT,4.0,False,True,False,91101.0,Los Angeles,0.3,Lowest,0.3,Lowest
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,93009.0,Ventura,0.3869,Lowest,0.3869,Lowest
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,93003.0,Ventura,0.3869,Lowest,0.3869,Lowest
Pacific View Mall,3295 E Main St,Ventura,CA,93003,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,2.0,False,True,False,93003.0,Ventura,0.3869,Lowest,0.3869,Lowest
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,0.0,21.0,0.0,Non-Networked,J1772,private,UTILITY,21.0,False,True,False,90293.0,Los Angeles,0.3,Lowest,0.3,Lowest
LA County DPW Baldwin Park,14747 E Ramona Blvd,Baldwin Park,CA,91706,0.0,3.0,0.0,Non-Networked,J1772,private,FLEET_GARAGE,3.0,False,True,False,91706.0,Los Angeles,0.3,Lowest,0.3,Lowest
LA County DPW Imperial,5525 E Imperial Hwy,South Gate,CA,90280,0.0,6.0,0.0,Non-Networked,J1772,private,MUNI_GOV,6.0,False,True,False,90280.0,Los Angeles,0.3,Lowest,0.3,Lowest
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,1.0,3.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,4.0,True,True,False,95616.0,Solano,0.4597,Low,0.4597,Low
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,1.0,1.0,0.0,Non-Networked,J1772 NEMA520,private,MUNI_GOV,2.0,True,True,False,93401.0,San Luis Obispo,0.4597,Low,0.4597,Low
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,0.0,8.0,0.0,Non-Networked,J1772,private,UTILITY,8.0,False,True,False,90744.0,Los Angeles,0.3,Lowest,0.3,Lowest
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_LOT,2.0,False,True,False,95628.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,1.0,2.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,3.0,True,True,False,95816.0,Sacramento,0.3869,Lowest,0.3869,Lowest
North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,0.0,1.0,0.0,Non-Networked,J1772,public,LIBRARY,1.0,False,True,False,95843.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,0.0,1.0,0.0,Non-Networked,J1772,private,OFFICE_BLDG,1.0,False,True,False,95833.0,Sacramento,0.3869,Lowest,0.3869,Lowest
University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,0.0,2.0,0.0,Non-Networked,J1772,public,HOSPITAL,2.0,False,True,False,95817.0,Sacramento,0.3869,Lowest,0.3869,Lowest
City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,0.0,2.0,0.0,Non-Networked,J1772,public,LIBRARY,2.0,False,True,False,95822.0,Sacramento,0.3869,Lowest,0.3869,Lowest
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,95667.0,El Dorado,0.4597,Low,0.4597,Low
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,0.0,1.0,0.0,Non-Networked,J1772,public,MUNI_GOV,1.0,False,True,False,95687.0,Solano,0.4597,Low,0.4597,Low
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,0.0,4.0,0.0,Non-Networked,J1772,public,REC_SPORTS_FACILITY,4.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,0.0,2.0,0.0,Non-Networked,J1772,public,TRAVEL_CENTER,2.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,0.0,2.0,0.0,Non-Networked,J1772,public,OFFICE_BLDG,2.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,0.0,7.0,0.0,Non-Networked,J1772,public,MUNI_GOV,7.0,False,True,False,95688.0,Solano,0.4597,Low,0.4597,Low
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,0.0,4.0,0.0,Non-Networked,J1772,public,MUNI_GOV,4.0,False,True,False,95621.0,Sacramento,0.3869,Lowest,0.3869,Lowest
