session_id,user_id,vehicle_id,station_id,start_time,end_time,duration_min,energy_kWh,session_day,session_type
CS0001,U339,V347,S091,2024-11-11 12:09:00,2024-11-11 13:26:00,77,26.87,Weekday,Occasional
CS0002,U286,V463,S025,2024-11-10 19:51:00,2024-11-10 21:28:00,97,67.47,Weekend,Emergency
CS0003,U092,V419,S007,2024-11-26 18:46:00,2024-11-26 20:43:00,117,60.16,Weekend,Regular
CS0004,U369,V070,S008,2024-11-28 19:53:00,2024-11-28 21:42:00,109,39.19,Weekday,Emergency
CS0005,U185,V298,S037,2024-11-27 13:09:00,2024-11-27 14:28:00,79,61.71,Weekend,Occasional
CS0006,U396,V322,S005,2024-11-04 07:03:00,2024-11-04 08:55:00,112,65.47,Weekday,Occasional
CS0007,U445,V420,S047,2024-11-20 07:16:00,2024-11-20 08:32:00,76,29.1,Weekend,Emergency
CS0008,U485,V331,S058,2024-11-23 06:33:00,2024-11-23 07:31:00,58,18.34,Weekend,Regular
CS0009,U341,V321,S027,2024-11-02 16:28:00,2024-11-02 17:07:00,39,28.91,Weekday,Regular
CS0010,U486,V124,S081,2024-11-13 18:54:00,2024-11-13 20:40:00,106,60.9,Weekend,Occasional
CS0011,U325,V262,S057,2024-11-24 06:45:00,2024-11-24 08:01:00,76,33.84,Weekend,Occasional
CS0012,U259,V101,S004,2024-11-19 15:34:00,2024-11-19 16:39:00,65,36.12,Weekday,Emergency
CS0013,U204,V271,S032,2024-11-13 18:53:00,2024-11-13 19:38:00,45,35.3,Weekend,Emergency
CS0014,U005,V390,S036,2024-11-10 09:18:00,2024-11-10 09:58:00,40,35.12,Weekday,Regular
CS0015,U470,V318,S059,2024-11-10 20:52:00,2024-11-10 22:41:00,109,51.33,Weekend,Regular
CS0016,U213,V433,S097,2024-11-04 18:15:00,2024-11-04 18:46:00,31,25.85,Weekday,Emergency
CS0017,U105,V431,S026,2024-11-03 12:35:00,2024-11-03 14:02:00,87,25.01,Weekend,Regular
CS0018,U241,V219,S087,2024-11-24 17:23:00,2024-11-24 18:29:00,66,46.96,Weekday,Occasional
CS0019,U443,V056,S036,2024-11-15 13:24:00,2024-11-15 14:28:00,64,34.71,Weekday,Emergency
CS0020,U356,V036,S025,2024-11-01 15:59:00,2024-11-01 17:36:00,97,79.73,Weekend,Emergency
CS0021,U414,V448,S094,2024-11-26 09:07:00,2024-11-26 11:02:00,115,55.52,Weekend,Emergency
CS0022,U350,V423,S050,2024-11-11 19:41:00,2024-11-11 20:49:00,68,30.81,Weekend,Occasional
CS0023,U387,V208,S100,2024-11-20 12:25:00,2024-11-20 13:25:00,60,47.37,Weekday,Regular
CS0024,U226,V462,S019,2024-11-10 10:38:00,2024-11-10 12:20:00,102,30.51,Weekday,Regular
CS0025,U420,V148,S078,2024-11-09 16:25:00,2024-11-09 18:03:00,98,31.62,Weekend,Regular
CS0026,U034,V453,S012,2024-11-19 09:56:00,2024-11-19 10:56:00,60,22.75,Weekday,Emergency
CS0027,U117,V093,S098,2024-11-05 20:58:00,2024-11-05 22:41:00,103,38.36,Weekday,Regular
CS0028,U267,V433,S081,2024-11-07 10:18:00,2024-11-07 11:10:00,52,42.7,Weekend,Occasional
CS0029,U406,V171,S058,2024-11-22 14:33:00,2024-11-22 15:30:00,57,38.53,Weekend,Regular
CS0030,U147,V486,S012,2024-11-14 16:38:00,2024-11-14 18:04:00,86,64.33,Weekend,Emergency
CS0031,U488,V224,S010,2024-11-06 15:26:00,2024-11-06 17:11:00,105,68.82,Weekend,Occasional
CS0032,U397,V492,S071,2024-11-04 20:54:00,2024-11-04 22:28:00,94,41.21,Weekday,Occasional
CS0033,U258,V234,S047,2024-11-24 07:43:00,2024-11-24 08:55:00,72,43.94,Weekday,Regular
CS0034,U374,V318,S012,2024-11-07 20:21:00,2024-11-07 21:40:00,79,48.21,Weekday,Regular
CS0035,U028,V018,S012,2024-11-10 22:17:00,2024-11-10 22:56:00,39,11.44,Weekday,Emergency
CS0036,U210,V074,S005,2024-11-12 13:04:00,2024-11-12 14:28:00,84,48.56,Weekend,Emergency
CS0037,U084,V449,S082,2024-11-17 13:47:00,2024-11-17 15:38:00,111,62.41,Weekday,Regular
CS0038,U377,V431,S002,2024-11-28 22:29:00,2024-11-28 23:20:00,51,14.74,Weekday,Occasional
CS0039,U446,V436,S041,2024-11-13 06:56:00,2024-11-13 07:32:00,36,23.73,Weekend,Occasional
CS0040,U279,V006,S085,2024-11-27 09:16:00,2024-11-27 10:07:00,51,15.69,Weekday,Emergency
CS0041,U466,V010,S093,2024-11-22 17:28:00,2024-11-22 18:26:00,58,33.92,Weekday,Occasional
CS0042,U210,V386,S031,2024-11-13 06:02:00,2024-11-13 08:01:00,119,113.36,Weekend,Regular
CS0043,U396,V133,S053,2024-11-13 18:37:00,2024-11-13 19:52:00,75,43.03,Weekend,Regular
CS0044,U487,V161,S041,2024-11-04 09:27:00,2024-11-04 11:02:00,95,53.76,Weekday,Emergency
CS0045,U214,V393,S052,2024-11-22 12:36:00,2024-11-22 13:57:00,81,31.75,Weekend,Emergency
CS0046,U463,V497,S012,2024-11-17 20:31:00,2024-11-17 22:29:00,118,39.04,Weekday,Regular
CS0047,U487,V468,S083,2024-11-28 09:30:00,2024-11-28 10:45:00,75,33.69,Weekday,Occasional
CS0048,U382,V082,S076,2024-11-06 08:17:00,2024-11-06 08:52:00,35,16.29,Weekend,Occasional
CS0049,U386,V392,S022,2024-11-06 20:00:00,2024-11-06 20:43:00,43,10.33,Weekday,Emergency
CS0050,U328,V104,S033,2024-11-16 06:41:00,2024-11-16 07:28:00,47,21.84,Weekend,Regular
CS0051,U309,V400,S078,2024-11-02 12:09:00,2024-11-02 12:39:00,30,11.63,Weekend,Occasional
CS0052,U143,V028,S087,2024-11-16 11:49:00,2024-11-16 13:48:00,119,60.96,Weekend,Regular
CS0053,U233,V143,S029,2024-11-18 18:20:00,2024-11-18 20:15:00,115,78.33,Weekday,Regular
CS0054,U407,V381,S063,2024-11-07 06:14:00,2024-11-07 08:09:00,115,57.08,Weekend,Occasional
CS0055,U288,V468,S001,2024-11-08 19:20:00,2024-11-08 21:12:00,112,49.61,Weekday,Regular
CS0056,U132,V001,S038,2024-11-03 12:42:00,2024-11-03 14:35:00,113,65.45,Weekday,Regular
CS0057,U092,V206,S030,2024-11-20 11:30:00,2024-11-20 13:07:00,97,70.64,Weekend,Occasional
CS0058,U157,V239,S034,2024-11-05 07:53:00,2024-11-05 08:43:00,50,29.23,Weekday,Emergency
CS0059,U453,V172,S043,2024-11-06 12:48:00,2024-11-06 13:49:00,61,38.76,Weekend,Regular
CS0060,U138,V491,S045,2024-11-28 18:31:00,2024-11-28 19:26:00,55,53.7,Weekend,Emergency
CS0061,U062,V377,S068,2024-11-28 20:44:00,2024-11-28 21:56:00,72,22.76,Weekday,Emergency
CS0062,U193,V356,S006,2024-11-21 11:50:00,2024-11-21 13:36:00,106,61.94,Weekday,Emergency
CS0063,U075,V030,S022,2024-11-03 09:07:00,2024-11-03 09:55:00,48,19.51,Weekend,Emergency
CS0064,U199,V163,S067,2024-11-25 08:23:00,2024-11-25 08:56:00,33,21.89,Weekday,Occasional
CS0065,U206,V341,S026,2024-11-13 21:18:00,2024-11-13 22:40:00,82,33.4,Weekend,Emergency
CS0066,U194,V468,S091,2024-11-05 16:08:00,2024-11-05 17:24:00,76,34.53,Weekend,Regular
CS0067,U379,V448,S075,2024-11-22 20:31:00,2024-11-22 22:04:00,93,57.59,Weekend,Occasional
CS0068,U018,V060,S046,2024-11-06 07:56:00,2024-11-06 09:18:00,82,48.18,Weekday,Emergency
CS0069,U021,V067,S011,2024-11-15 16:50:00,2024-11-15 18:20:00,90,43.32,Weekend,Regular
CS0070,U301,V084,S056,2024-11-04 17:57:00,2024-11-04 18:33:00,36,12.43,Weekday,Emergency
CS0071,U143,V322,S075,2024-11-13 10:43:00,2024-11-13 11:32:00,49,27.69,Weekend,Occasional
CS0072,U489,V115,S019,2024-11-06 06:14:00,2024-11-06 07:02:00,48,25.43,Weekend,Regular
CS0073,U231,V462,S008,2024-11-08 09:48:00,2024-11-08 11:28:00,100,35.37,Weekday,Occasional
CS0074,U007,V121,S005,2024-11-01 19:12:00,2024-11-01 20:08:00,56,48.42,Weekend,Regular
CS0075,U376,V419,S029,2024-11-08 15:19:00,2024-11-08 16:55:00,96,45.59,Weekend,Emergency
CS0076,U080,V485,S045,2024-11-21 15:18:00,2024-11-21 16:47:00,89,41.93,Weekend,Occasional
CS0077,U323,V063,S025,2024-11-01 06:18:00,2024-11-01 07:45:00,87,48.99,Weekend,Emergency
CS0078,U087,V292,S045,2024-11-16 11:58:00,2024-11-16 13:11:00,73,35.52,Weekend,Occasional
CS0079,U399,V138,S063,2024-11-22 12:05:00,2024-11-22 13:39:00,94,72.43,Weekend,Emergency
CS0080,U188,V221,S089,2024-11-17 22:36:00,2024-11-17 23:14:00,38,12.02,Weekend,Emergency
CS0081,U095,V127,S004,2024-11-23 22:52:00,2024-11-24 00:19:00,87,27.01,Weekday,Emergency
CS0082,U367,V288,S025,2024-11-17 07:48:00,2024-11-17 08:57:00,69,49.84,Weekday,Regular
CS0083,U392,V007,S058,2024-11-03 11:54:00,2024-11-03 13:30:00,96,41.92,Weekday,Emergency
CS0084,U265,V179,S040,2024-11-17 07:56:00,2024-11-17 09:26:00,90,38.42,Weekend,Occasional
CS0085,U086,V288,S010,2024-11-06 15:03:00,2024-11-06 16:11:00,68,49.26,Weekday,Occasional
CS0086,U426,V266,S021,2024-11-08 06:16:00,2024-11-08 08:07:00,111,57.67,Weekday,Occasional
CS0087,U472,V184,S041,2024-11-17 13:38:00,2024-11-17 14:12:00,34,22.0,Weekday,Occasional
CS0088,U174,V479,S091,2024-11-07 10:47:00,2024-11-07 11:35:00,48,30.78,Weekend,Emergency
CS0089,U062,V071,S066,2024-11-03 09:46:00,2024-11-03 10:36:00,50,15.06,Weekend,Occasional
CS0090,U265,V422,S060,2024-11-28 17:54:00,2024-11-28 19:51:00,117,80.15,Weekday,Regular
CS0091,U420,V062,S030,2024-11-10 07:29:00,2024-11-10 08:53:00,84,42.13,Weekday,Occasional
CS0092,U297,V365,S090,2024-11-26 20:14:00,2024-11-26 21:06:00,52,23.2,Weekday,Emergency
CS0093,U256,V258,S018,2024-11-01 21:44:00,2024-11-01 22:24:00,40,17.8,Weekday,Emergency
CS0094,U002,V478,S036,2024-11-28 15:52:00,2024-11-28 16:28:00,36,20.63,Weekday,Occasional
CS0095,U466,V227,S022,2024-11-08 15:06:00,2024-11-08 15:43:00,37,16.95,Weekday,Regular
CS0096,U093,V270,S068,2024-11-27 17:40:00,2024-11-27 19:32:00,112,61.75,Weekend,Regular
CS0097,U123,V185,S073,2024-11-11 19:27:00,2024-11-11 21:15:00,108,50.81,Weekday,Occasional
CS0098,U157,V261,S096,2024-11-08 14:35:00,2024-11-08 15:22:00,47,26.25,Weekday,Regular
CS0099,U154,V076,S012,2024-11-15 14:55:00,2024-11-15 15:49:00,54,40.59,Weekend,Regular
CS0100,U308,V306,S073,2024-11-09 19:58:00,2024-11-09 20:28:00,30,9.62,Weekend,Regular
CS0101,U040,V035,S057,2024-11-04 14:12:00,2024-11-04 14:58:00,46,33.08,Weekend,Occasional
CS0102,U432,V451,S049,2024-11-18 15:03:00,2024-11-18 16:02:00,59,43.78,Weekday,Occasional
CS0103,U416,V112,S070,2024-11-22 15:54:00,2024-11-22 17:14:00,80,33.01,Weekday,Regular
CS0104,U260,V429,S049,2024-11-11 19:57:00,2024-11-11 21:54:00,117,58.38,Weekend,Regular
CS0105,U255,V346,S046,2024-11-25 22:59:00,2024-11-25 23:45:00,46,43.64,Weekday,Occasional
CS0106,U370,V168,S091,2024-11-16 20:31:00,2024-11-16 21:26:00,55,35.4,Weekday,Emergency
CS0107,U183,V061,S052,2024-11-20 18:22:00,2024-11-20 19:35:00,73,54.89,Weekday,Emergency
CS0108,U116,V457,S046,2024-11-27 10:32:00,2024-11-27 11:47:00,75,59.64,Weekend,Regular
CS0109,U097,V354,S059,2024-11-09 10:22:00,2024-11-09 11:52:00,90,30.28,Weekday,Occasional
CS0110,U133,V025,S064,2024-11-19 07:22:00,2024-11-19 09:07:00,105,46.53,Weekday,Regular
CS0111,U293,V298,S061,2024-11-02 12:19:00,2024-11-02 14:14:00,115,84.26,Weekend,Emergency
CS0112,U313,V274,S051,2024-11-16 21:21:00,2024-11-16 22:33:00,72,26.78,Weekend,Regular
CS0113,U353,V101,S043,2024-11-02 20:29:00,2024-11-02 21:19:00,50,23.1,Weekday,Occasional
CS0114,U400,V337,S004,2024-11-20 21:42:00,2024-11-20 23:40:00,118,76.83,Weekend,Occasional
CS0115,U010,V335,S034,2024-11-09 16:51:00,2024-11-09 18:37:00,106,44.26,Weekend,Regular
CS0116,U331,V005,S054,2024-11-21 21:40:00,2024-11-21 22:41:00,61,56.86,Weekday,Emergency
CS0117,U059,V213,S011,2024-11-12 07:49:00,2024-11-12 09:15:00,86,40.87,Weekend,Regular
CS0118,U185,V144,S090,2024-11-19 22:33:00,2024-11-19 23:48:00,75,47.45,Weekday,Regular
CS0119,U474,V475,S093,2024-11-15 16:19:00,2024-11-15 17:01:00,42,16.66,Weekday,Emergency
CS0120,U090,V219,S043,2024-11-13 19:18:00,2024-11-13 20:51:00,93,77.68,Weekday,Emergency
CS0121,U367,V048,S031,2024-11-24 10:40:00,2024-11-24 12:03:00,83,42.49,Weekend,Emergency
CS0122,U029,V395,S034,2024-11-27 13:33:00,2024-11-27 15:04:00,91,68.44,Weekend,Emergency
CS0123,U373,V487,S025,2024-11-24 09:05:00,2024-11-24 10:43:00,98,39.06,Weekday,Occasional
CS0124,U035,V408,S045,2024-11-03 17:43:00,2024-11-03 19:00:00,77,65.75,Weekday,Occasional
CS0125,U206,V115,S012,2024-11-25 07:33:00,2024-11-25 08:13:00,40,23.09,Weekday,Regular
CS0126,U174,V110,S015,2024-11-24 13:35:00,2024-11-24 15:32:00,117,31.28,Weekday,Occasional
CS0127,U456,V210,S095,2024-11-22 06:57:00,2024-11-22 08:54:00,117,57.65,Weekend,Occasional
CS0128,U232,V238,S071,2024-11-07 18:06:00,2024-11-07 19:13:00,67,39.45,Weekend,Regular
CS0129,U090,V169,S026,2024-11-08 16:36:00,2024-11-08 17:53:00,77,36.0,Weekend,Regular
CS0130,U263,V385,S025,2024-11-24 13:01:00,2024-11-24 14:27:00,86,33.4,Weekday,Regular
CS0131,U332,V277,S090,2024-11-09 12:17:00,2024-11-09 13:46:00,89,63.93,Weekend,Occasional
CS0132,U009,V488,S046,2024-11-05 12:03:00,2024-11-05 13:55:00,112,87.63,Weekday,Emergency
CS0133,U293,V434,S027,2024-11-28 07:54:00,2024-11-28 09:17:00,83,29.15,Weekday,Occasional
CS0134,U018,V016,S050,2024-11-15 07:22:00,2024-11-15 08:47:00,85,53.43,Weekend,Emergency
CS0135,U310,V070,S041,2024-11-01 21:20:00,2024-11-01 22:00:00,40,13.42,Weekday,Regular
CS0136,U149,V108,S049,2024-11-24 20:34:00,2024-11-24 21:06:00,32,15.69,Weekend,Occasional
CS0137,U172,V123,S040,2024-11-19 08:30:00,2024-11-19 10:22:00,112,69.05,Weekend,Regular
CS0138,U187,V424,S068,2024-11-03 18:11:00,2024-11-03 19:32:00,81,24.24,Weekday,Emergency
CS0139,U001,V470,S099,2024-11-25 13:27:00,2024-11-25 14:17:00,50,26.28,Weekday,Occasional
CS0140,U415,V058,S063,2024-11-03 15:47:00,2024-11-03 16:56:00,69,46.27,Weekday,Emergency
CS0141,U436,V026,S065,2024-11-16 09:59:00,2024-11-16 11:21:00,82,58.94,Weekday,Emergency
CS0142,U164,V012,S022,2024-11-11 21:20:00,2024-11-11 23:15:00,115,63.29,Weekday,Regular
CS0143,U364,V330,S013,2024-11-27 15:07:00,2024-11-27 17:06:00,119,72.84,Weekday,Emergency
